temperature,val_ece,val_nll,selection_score,Model
0.5,0.046403499912565115,1.3595434705637102,0.046403499912565115,w/o RAG
0.75,0.07053266240918796,1.3664306092311245,0.07053266240918796,w/o RAG
1.0,0.0704861942622361,1.3705982024961123,0.0704861942622361,w/o RAG
1.5,0.04225088789511671,1.375283050726776,0.04225088789511671,w/o RAG
2.0,0.013632401044149756,1.3778268122952237,0.013632401044149756,w/o RAG
3.0,0.012422266976777063,1.3805083755884973,0.012422266976777063,w/o RAG
5.0,0.011453236821141799,1.3827544789304134,0.011453236821141799,w/o RAG
8.0,0.01090812087209847,1.3840577814181518,0.01090812087209847,w/o RAG
0.5,0.2224510583303656,0.8574990928899716,0.2224510583303656,Sparse Only
0.75,0.3096014454422225,0.9534703200267812,0.3096014454422225,Sparse Only
1.0,0.35951446996487463,1.0290348518413972,0.35951446996487463,Sparse Only
1.5,0.41109361689448665,1.125750037887617,0.41109361689448665,Sparse Only
2.0,0.4367692855538824,1.1824328187415705,0.4367692855538824,Sparse Only
3.0,0.46198169529967414,1.2447620092109815,0.46198169529967414,Sparse Only
5.0,0.4816404258904135,1.2986914767759612,0.4816404258904135,Sparse Only
8.0,0.49244863984360676,1.3306053556191741,0.49244863984360676,Sparse Only
0.5,0.17714975893096974,0.8819131024929839,0.17714975893096974,Dense Only
0.75,0.23185978160689216,0.9733827004476139,0.23185978160689216,Dense Only
1.0,0.2811404074944749,1.0459951545330244,0.2811404074944749,Dense Only
1.5,0.3330260135402729,1.1387980251634444,0.3330260135402729,Dense Only
2.0,0.37464466711528177,1.1929948227480496,0.37464466711528177,Dense Only
3.0,0.3834192840255709,1.2523780069498793,0.3834192840255709,Dense Only
5.0,0.41486407777885337,1.3035617807097208,0.41486407777885337,Dense Only
8.0,0.4130993017014894,1.3337610030549272,0.4130993017014894,Dense Only
0.5,0.2486191405364171,0.7300689199686964,0.2486191405364171,Hybrid w/o Rerank
0.75,0.33423167258577346,0.8710877312766592,0.33423167258577346,Hybrid w/o Rerank
1.0,0.3830803191063225,0.9683361118936084,0.3830803191063225,Hybrid w/o Rerank
1.5,0.4334781024783873,1.0860507229992102,0.4334781024783873,Hybrid w/o Rerank
2.0,0.4585447130263723,1.1529540800352884,0.4585447130263723,Hybrid w/o Rerank
3.0,0.4831500052621005,1.2253091091995598,0.4831500052621005,Hybrid w/o Rerank
5.0,0.5023313311382628,1.2871161906037982,0.5023313311382628,Hybrid w/o Rerank
8.0,0.5128762825537578,1.3234047901642034,0.5128762825537578,Hybrid w/o Rerank
0.5,0.2903811379649594,0.846619540101127,0.2903811379649594,VERITA-QA
0.75,0.34322717784779366,0.9489557375297245,0.34322717784779366,VERITA-QA
1.0,0.381826406457813,1.0269213708861296,0.381826406457813,VERITA-QA
1.5,0.43302853223947263,1.125323528572137,0.43302853223947263,VERITA-QA
2.0,0.47447341742230426,1.1825205297669066,0.47447341742230426,VERITA-QA
3.0,0.48315298269136436,1.245108657308106,0.48315298269136436,VERITA-QA
5.0,0.5146431334140581,1.2990441804404145,0.5146431334140581,VERITA-QA
8.0,0.5129319023051673,1.330878037789181,0.5129319023051673,VERITA-QA
