Model,Accuracy,Macro-F1,ECE_before,Selected_temperature,ECE_after,Delta_ECE_after_minus_before,Relative_ECE_reduction_%
w/o RAG,0.288,0.2139466363838203,0.025096567069471352,8.0,0.03648574570446367,0.011389178634992315,-45.38142050849118
Sparse Only,0.698,0.6991227502954769,0.3060865044751722,0.5,0.1769800038558138,-0.1291065006193584,42.179742893509605
Dense Only,0.698,0.6982738108256114,0.3076283428833278,0.5,0.18911460628756138,-0.11851373659576642,38.524973181913325
Hybrid w/o Rerank,0.774,0.7741160136361865,0.3787924307860624,0.5,0.2431509326028594,-0.135641498183203,35.808925194656744
VERITA-QA,0.72,0.7205761031801529,0.3247200813101944,0.5,0.19219430870680618,-0.13252577260338824,40.812311966869316
