Model,Predictive utility U,Calibration risk C_cal,Uncertainty H,Decision margin,Evidence redundancy R_red,Evidence coverage G_cov,Evidence complexity K,Selective-action utility A_sel,U_norm,C_norm,H_norm,R_norm,K_norm,G_norm,A_norm,Stabilizing force,Destabilizing force,VE free energy,Equilibrium residual,Force-balance gap,VE rank
Hybrid w/o Rerank,0.774,0.2431509326028594,0.7738369498205094,0.2912049427181495,0.5790136189216215,0.39980804902871464,4.0,0.7955555555555556,1.0,0.0,0.993263664914221,0.13300525707458177,0.0,1.0,1.0,2.7554737478778053,1.5945262521221946,-0.4554737478778055,0.0,1.1609474957556107,1
Sparse Only,0.698,0.1769800038558138,0.7753379158106708,0.2648864391782921,0.5227725800433937,0.30662612512616383,4.0,0.72,0.8436213991769546,0.32018420586519813,0.986670355320451,0.21721862175312157,0.0,0.7669333468174915,0.8508771929824561,2.7181232324436793,1.2727501039741238,-0.4181232324436791,0.037350515434126375,1.4453731284695555,2
VERITA-QA,0.72,0.19219430870680618,0.7723034240974584,0.2858151588454385,0.6678398267651666,0.31359740861778396,4.0,0.7377777777777778,0.8888888888888888,0.24656607462922808,1.0,0.0,0.0,0.7843699229658607,0.8859649122807017,2.6351842698267687,1.4280905328336948,-0.33518426982676847,0.12028947805103701,1.2070937369930739,3
Dense Only,0.698,0.18911460628756138,0.781677707356002,0.2916855747951814,0.0,0.0,4.0,0.7422222222222222,0.8436213991769546,0.2614679672288699,0.9588214841985679,1.0,0.0,0.0,0.8947368421052632,2.5995449554646384,0.9914448647649479,-0.2995449554646382,0.15592879241316726,1.6081000906996905,4
w/o RAG,0.288,0.03648574570446367,0.999953281701542,0.0013681060239196946,0.0,0.0,0.0,0.28888888888888886,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.6500000000000001,0.65,0.65,1.1054737478778054,1.0,5
