Variant,R@5,R@10,MRR
Sparse Only,0.9464285714285714,0.9709821428571429,0.8645955978545263
Dense Only,0.703125,0.84375,0.5689802508998938
Hybrid w/o Rerank,0.8660714285714286,0.9575892857142857,0.7180348545303902
VERITA-QA,0.8727678571428571,0.8727678571428571,0.8059895833333334
