Model,Accuracy,Macro-F1,ECE
w/o RAG,0.288,0.2139466363838203,0.025096567069471352
Sparse Only,0.698,0.6991227502954769,0.3060865044751722
Dense Only,0.698,0.6982738108256114,0.3076283428833278
Hybrid w/o Rerank,0.774,0.7741160136361865,0.3787924307860624
VERITA-QA,0.72,0.7205761031801529,0.3247200813101944
