bin_low,bin_high,count,accuracy,confidence,Model,Stage,ECE
0.0,0.1,0,,,Hybrid w/o Rerank,Before calibration,0.3787924307860624
0.1,0.2,0,,,Hybrid w/o Rerank,Before calibration,0.3787924307860624
0.2,0.30000000000000004,59,0.576271186440678,0.2666021719786988,Hybrid w/o Rerank,Before calibration,0.3787924307860624
0.30000000000000004,0.4,245,0.7306122448979592,0.35728770987983255,Hybrid w/o Rerank,Before calibration,0.3787924307860624
0.4,0.5,139,0.8776978417266187,0.4673674839473152,Hybrid w/o Rerank,Before calibration,0.3787924307860624
0.5,0.6000000000000001,57,0.9122807017543859,0.5153453907191187,Hybrid w/o Rerank,Before calibration,0.3787924307860624
0.6000000000000001,0.7000000000000001,0,,,Hybrid w/o Rerank,Before calibration,0.3787924307860624
0.7000000000000001,0.8,0,,,Hybrid w/o Rerank,Before calibration,0.3787924307860624
0.8,0.9,0,,,Hybrid w/o Rerank,Before calibration,0.3787924307860624
0.9,1.0,0,,,Hybrid w/o Rerank,Before calibration,0.3787924307860624
0.0,0.1,0,,,Hybrid w/o Rerank,After calibration,0.2431509326028594
0.1,0.2,0,,,Hybrid w/o Rerank,After calibration,0.2431509326028594
0.2,0.30000000000000004,39,0.5641025641025641,0.26064832423118384,Hybrid w/o Rerank,After calibration,0.2431509326028594
0.30000000000000004,0.4,84,0.6309523809523809,0.3546046361277992,Hybrid w/o Rerank,After calibration,0.2431509326028594
0.4,0.5,134,0.6865671641791045,0.4597063028201131,Hybrid w/o Rerank,After calibration,0.2431509326028594
0.5,0.6000000000000001,70,0.9142857142857143,0.533567901629385,Hybrid w/o Rerank,After calibration,0.2431509326028594
0.6000000000000001,0.7000000000000001,25,0.92,0.6470993497925192,Hybrid w/o Rerank,After calibration,0.2431509326028594
0.7000000000000001,0.8,143,0.8951048951048951,0.7431617490935067,Hybrid w/o Rerank,After calibration,0.2431509326028594
0.8,0.9,5,1.0,0.8144896123364903,Hybrid w/o Rerank,After calibration,0.2431509326028594
0.9,1.0,0,,,Hybrid w/o Rerank,After calibration,0.2431509326028594
0.0,0.1,0,,,VERITA-QA,Before calibration,0.3247200813101944
0.1,0.2,0,,,VERITA-QA,Before calibration,0.3247200813101944
0.2,0.30000000000000004,61,0.5409836065573771,0.26286223928541247,VERITA-QA,Before calibration,0.3247200813101944
0.30000000000000004,0.4,239,0.6569037656903766,0.3589375333103215,VERITA-QA,Before calibration,0.3247200813101944
0.4,0.5,133,0.8571428571428571,0.45903083431690433,VERITA-QA,Before calibration,0.3247200813101944
0.5,0.6000000000000001,67,0.835820895522388,0.518928228704142,VERITA-QA,Before calibration,0.3247200813101944
0.6000000000000001,0.7000000000000001,0,,,VERITA-QA,Before calibration,0.3247200813101944
0.7000000000000001,0.8,0,,,VERITA-QA,Before calibration,0.3247200813101944
0.8,0.9,0,,,VERITA-QA,Before calibration,0.3247200813101944
0.9,1.0,0,,,VERITA-QA,Before calibration,0.3247200813101944
0.0,0.1,0,,,VERITA-QA,After calibration,0.19219430870680618
0.1,0.2,0,,,VERITA-QA,After calibration,0.19219430870680618
0.2,0.30000000000000004,49,0.5510204081632653,0.26316419838397176,VERITA-QA,After calibration,0.19219430870680618
0.30000000000000004,0.4,62,0.532258064516129,0.35578152318189876,VERITA-QA,After calibration,0.19219430870680618
0.4,0.5,151,0.6291390728476821,0.4583547511447766,VERITA-QA,After calibration,0.19219430870680618
0.5,0.6000000000000001,78,0.8333333333333334,0.5428341085877931,VERITA-QA,After calibration,0.19219430870680618
0.6000000000000001,0.7000000000000001,20,0.95,0.6508930088750101,VERITA-QA,After calibration,0.19219430870680618
0.7000000000000001,0.8,131,0.8702290076335878,0.7463388677175071,VERITA-QA,After calibration,0.19219430870680618
0.8,0.9,9,0.7777777777777778,0.8212815836331322,VERITA-QA,After calibration,0.19219430870680618
0.9,1.0,0,,,VERITA-QA,After calibration,0.19219430870680618
